text,sentiment,clean_text
Very easy to use.,positive,easy use
"Uncomfortable In the Ear, Don't use with LG VX9900 (EnV).",negative,uncomfortable ear dont use lg vx env
The volume switch rocketed out of the unit to a destination unknown.,negative,volume switch rocketed unit destination unknown
"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",positive,holds charge long time reasonably comfortable longwearing conditions quality sound tremendous
I'd like to return it.,negative,id like return
The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,positive,keyboard really worthwhile usefulness sturdy enough dont expect problems
"Verizon's bills, however, are difficult to understand even though their pricing plans are simple.",negative,verizons bills however difficult understand even though pricing plans simple
"After charging overnight, these batteries work great.",positive,charging overnight batteries work great
You won't regret it!,positive,wont regret
I love this phone!.,positive,love phone
A Disappointment.,negative,disappointment
Its not user friendly.,negative,user friendly
Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,negative,unfortunately ability actually know receiving call rather important feature phone pitiful respect
"Then I exchanged for the same phone, even that had the same problem.",negative,exchanged phone even problem
This results in the phone being either stuck at max volume or mute.,negative,results phone either stuck max volume mute
This PDA rocks.,positive,pda rocks
"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",positive,super charged use small hybrid palmtopcameracellphone excels roles
"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",positive,would definitely recommend jabra btv looking comfort clarity great price
I had Verizon 2 years ago and really liked their service.,positive,verizon years ago really liked service
Pretty piece of junk.,negative,pretty piece junk
Plug was the wrong size.,negative,plug wrong size
Works as described.,positive,works described
Save your money.... I've had this item for 11 months now.,negative,save money ive item months
Bad Purchase.,negative,bad purchase
WELL IM SATISFIED.,positive,well im satisfied
"The bose noise cancelling is amazing, which is very important for a NYC commuter.",positive,bose noise cancelling amazing important nyc commuter
This battery is an excellent bargain!,positive,battery excellent bargain
Defective crap.,negative,defective crap
I would have given no star if I was able.,negative,would given star able
I wear glasses and it fits fine with them.,positive,wear glasses fits fine
"The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.",negative,sound quality device unacceptableunless really quiet area almost hear nothing
I would not recommend this item to anyone.,negative,would recommend item anyone
The holster that arrived did not match the photo in the ad.,negative,holster arrived match photo ad
great...no problems at all!.,positive,greatno problems
"As an earlier review noted, plug in this charger and nothing happens.",negative,earlier review noted plug charger nothing happens
This frog phone charm is adorable and very eye catching.,positive,frog phone charm adorable eye catching
You never know if you pushed it hard enough or the right number of times for the function you want or not.,negative,never know pushed hard enough right number times function want
The sound is clear and the people I talk to on it are amazed at the quality too.,positive,sound clear people talk amazed quality
I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,positive,got aluminum case new palm vx worked really wellit protected handheld perfectly far
"very good product, well made.",positive,good product well made
Mobile Phone Tools are a must have.,positive,mobile phone tools must
I am very impressed with the job that Motorola did on the sturdiness of this phone.,positive,impressed job motorola sturdiness phone
"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.",positive,received orders well within shipping timeframe everything good working order overall excited source
The phone is sturdy and waterproof.,positive,phone sturdy waterproof
I am not impressed with this and i would not recommend this item to anyone.,negative,impressed would recommend item anyone
My only complaint is the standard sound volume is a little low even when turned up to 5(of 5),negative,complaint standard sound volume little low even turned
Thanks again to Amazon for having the things I need for a good price!,positive,thanks amazon things need good price
I ended up sliding it on the edge of my pants or back pockets instead.,positive,ended sliding edge pants back pockets instead
I had to go to a store and bought a new NOKIA phone which is working great.,positive,go store bought new nokia phone working great
Works great!.,positive,works great
REALLY UGLY.,negative,really ugly
"horrible, had to switch 3 times.",negative,horrible switch times
The noise shield is incrediable.,positive,noise shield incrediable
No real improvement.,negative,real improvement
Razr Battery - Good buy.,positive,razr battery good buy
Keep up the good work Amazon!!,positive,keep good work amazon
They refuse to refund or replace.,negative,refuse refund replace
Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,negative,unfortunately easy accidentally activate gentletouch buttons accidentally touch phone face listening
So I basically threw my money out the window for nothing.,negative,basically threw money window nothing
Great case and price!,positive,great case price
All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.,negative,took one drop inches kitchen counter crackedi impressed laughing
"Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.",positive,bluetooth range good days ago left phone trunk got call carried conversation without hitch
"Small, sleek, impressive looking, practical setup with ample storage in place.",positive,small sleek impressive looking practical setup ample storage place
The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,positive,eargels channel sound directly ear seem increase sound volume clarity
none of the new ones have ever quite worked properly.,negative,none new ones ever quite worked properly
I am glad I purchased it.,positive,glad purchased
I've missed numerous calls because of this reason.,negative,ive missed numerous calls reason
"Perhaps my phone is defective, but people cannot hear me when I use this.",negative,perhaps phone defective people cannot hear use
Don't buy this product.,negative,dont buy product
"sucked, most of the stuff does not work with my phone.",negative,sucked stuff work phone
"No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid.",positive,shifting bubbling peeling even scratch nothingi couldnt happier new one droid
Worst software ever used.... If I could give this zero stars I would.,negative,worst software ever used could give zero stars would
Trying to make a call on these is an exercise in frustration.,negative,trying make call exercise frustration
The case is a flimsy piece of plastic and has no front or side protection whatsoever.,negative,case flimsy piece plastic front side protection whatsoever
"I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.",positive,jabra earset happy sound quality especially outgoing better
"I love the camera, it's really pretty good quality.",positive,love camera really pretty good quality
Thank you for such great service.,positive,thank great service
Its a total package.,positive,total package
"The seller is very understanding and patient, I would definitely buy from them again.",positive,seller understanding patient would definitely buy
I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.,negative,give wirefly stari contact cingularatt inform practice
It's AGGRAVATING!,negative,aggravating
Great product for the price!.,positive,great product price
"I have purchased these for both family and friends, and all enjoy their clarity and ease of use",positive,purchased family friends enjoy clarity ease use
Virgin Wireless rocks and so does this cheap little phone!,positive,virgin wireless rocks cheap little phone
"None of it works, just don't buy it.",negative,none works dont buy
"Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off.",negative,muddy low quality sound casing around wires insert poorly super glued slid
Please dont waste your money.,negative,please dont waste money
"All in all, I'm quite satisfied with this purchase.",positive,im quite satisfied purchase
"If you are looking for a good quality Motorola Headset keep looking, this isn't it.",negative,looking good quality motorola headset keep looking isnt
Yet Plantronincs continues to use the same flawed charger design.,negative,yet plantronincs continues use flawed charger design
Disapointing Results.,negative,disapointing results
Cumbersome design.,negative,cumbersome design
"Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!",positive,great new packaged nice works good problems came less time expected
Great Product.,positive,great product
It's A PIECE OF CRAP!,negative,piece crap
"My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!",negative,experience terrible fourth bluetooth headset much comfortable last jabra hated
This fixes all the problems.,positive,fixes problems
Worst ever.,negative,worst ever
I am very happy,positive,happy
"I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions.",positive,ive trouble accessing internet downloading ringtones performing functions
"I can barely ever hear on it and am constantly saying ""what?""",negative,barely ever hear constantly saying
The battery life is highly unacceptable.,negative,battery life highly unacceptable
That company is a joke.,negative,company joke
It does everything the description said it would.,positive,everything description said would
Due to this happening on every call I was forced to stop using this headset.,negative,due happening every call forced stop using headset
"It works great with a car charger, especially if you cannot plug in two adapters at the same time.",positive,works great car charger especially cannot plug two adapters time
"Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data.",negative,verizon tech support walked procedures none worked ended hard reset wiping data
"Voice Quality, Signal Strength, Dropped Calls.",negative,voice quality signal strength dropped calls
"It plays louder than any other speaker of this size; the price is so low that most would think the quality is lacking, however, it's not.",positive,plays louder speaker size price low would think quality lacking however
Better than expected.,positive,better expected
"It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.",negative,feels poorly constructed menus difficult navigate buttons recessed difficult push
Battery is holding up well.,positive,battery holding well
Also difficult to put on.I'd recommend avoiding this product.,negative,also difficult put onid recommend avoiding product
"I only used it two days, and it wasn't always easy to hear with.",negative,used two days wasnt always easy hear
I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.,negative,got car charger even week charger brokeni went plug started smoking
Sprint - terrible customer service.,negative,sprint terrible customer service
Linked to my phone without effort.,positive,linked phone without effort
THey are so cool!,positive,cool
Easy to use.,positive,easy use
Better Than New.,positive,better new
"What possesed me to get this junk, I have no idea...",negative,possesed get junk idea
Piece of trash.,negative,piece trash
A pretty good product.,positive,pretty good product
This is a great phone!.,positive,great phone
"For the price on Amazon, it is an excellent product, which I would highly recommend.",positive,price amazon excellent product would highly recommend
Their Research and Development division obviously knows what they're doing.,positive,research development division obviously knows theyre
"The real killer is the volume, and of course it breaking.",negative,real killer volume course breaking
Those phones are working just fine now.,positive,phones working fine
I am more than happy with this product.,positive,happy product
Poor Construction.,negative,poor construction
This is infuriating.,negative,infuriating
"Overall, I would recommend this phone over the new Walkman.",positive,overall would recommend phone new walkman
Sprint charges for this service.,negative,sprint charges service
"It is cheap, and it feel and look just as cheap.",negative,cheap feel look cheap
It fits my ear well and is comfortable on.,positive,fits ear well comfortable
It doesn't work in Europe or Asia.,negative,doesnt work europe asia
clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.,positive,clipping belt deffinitely make feel like cents upandcoming
I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,positive,like design look jabra behing ear headsets pretty comfortible wear hours day without pain ear
I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,positive,amazed quick arrival two original lg cell phone batteries fraction price
the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.,negative,worst phone samsungcrap crappy samsung e worst ever seeen
the charger worked for about a week and then completely stopped charging my phone.,negative,charger worked week completely stopped charging phone
Poor product.,negative,poor product
However I needed some better instructions.,negative,however needed better instructions
You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.,negative,need two hands operate screenthis software interface decade old cannot compete new software designs
Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).,positive,worked well paired treo w skype headset pc using usb bluetooth transceiver
"Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack.",negative,steer clear product go genuine palm replacementr pens come threepack
DO NOT BUY DO NOT BUYIT SUCKS,negative,buy buyit sucks
This is a great product..... sure beats using your fingers!.,positive,great product sure beats using fingers
"Plus, I seriously do not believe it is worth its steep price point.",negative,plus seriously believe worth steep price point
All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.,positive,cases ive tried normally fall apart months one seems long haul
Very Dissapointing Performance.,negative,dissapointing performance
Don't make the same mistake that I did and please don't buy this phone.,negative,dont make mistake please dont buy phone
This phone might well be the worst I've ever had in any brand.,negative,phone might well worst ive ever brand
Case was more or less an extra that I originally put on but later discarded because it scratched my ear.,negative,case less extra originally put later discarded scratched ear
I recommend iGo to anyone with different brand cell phones/mp3 players in the family.,positive,recommend igo anyone different brand cell phonesmp players family
Don't bother - go to the store.,negative,dont bother go store
"I posted more detailed comments under the grey or black phone, but i have the Fire Red and it's a great color!",positive,posted detailed comments grey black phone fire red great color
I did not have any problem with this item and would order it again if needed.,positive,problem item would order needed
You get what you pay for I guess.,negative,get pay guess
"Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.",positive,software great job could also make ringtones form existing cds without internet connection
im surprised this is a good quality car charger and there's not much reviews about it.,positive,im surprised good quality car charger theres much reviews
These are fabulous!,positive,fabulous
"However, BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.",negative,however bt headsets currently good real time games like firstperson shooters since audio delay messes
I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.,positive,used bitpim free program find internetto transfer data phonethe price cable excellent
Disappointing accessory from a good manufacturer.,negative,disappointing accessory good manufacturer
"Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.",negative,performed awful muffled tinny incoming sound severe echo end call
Very wind-resistant.,positive,windresistant
"Obviously they have a terrible customer service, so you get what you pay for.",negative,obviously terrible customer service get pay
"They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.",positive,last forever overly expensive replaceeasy operate sound much better others tried
"I contacted the company and they told me that, although the unit was still under warranty, if I couldn't produce my receipt I was out of luck.",negative,contacted company told although unit still warranty couldnt produce receipt luck
Linksys should have some way to exchange a bad phone for a refurb unit or something!,negative,linksys way exchange bad phone refurb unit something
Phone is sturdy as all nokia bar phones are.,positive,phone sturdy nokia bar phones
Great phone.,positive,great phone
"When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides.",negative,placed treo case snug lot extra room sides
I'm pleased.,positive,im pleased
Battery is terrible.,negative,battery terrible
I found the product to be easy to set up and use.,positive,found product easy set use
The earpiece on this is too large or too heavy...it keeps falling out of my ear.,negative,earpiece large heavyit keeps falling ear
Utter crap.. Sound quality is TERRIBLE.,negative,utter crap sound quality terrible
"The charger arrived within the promised timeframe, but it did not work.",negative,charger arrived within promised timeframe work
"No ear loop needed, it's tiny and the sound is great.",positive,ear loop needed tiny sound great
"Finally, after three or four times the spring of the latch broke and I could not use it any longer on the visor.",negative,finally three four times spring latch broke could use longer visor
"The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.",positive,handsfree part works fine car tries download address book treo rebootsoverall still rate device high
Talk about USELESS customer service.,negative,talk useless customer service
"It felt too light and ""tinny."".",negative,felt light tinny
This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.,negative,fit palm tungsten e broke first time tried plug
I'm happy about this purchase- good quality and low price.,positive,im happy purchase good quality low price
I love the look and feel of Samsung flipphones.,positive,love look feel samsung flipphones
Its well-designed and very sharp -- the blue is a very nice color.,positive,welldesigned sharp blue nice color
Does everything it should and more.,positive,everything
I could not recommend these more.,negative,could recommend
Nice Sound.,positive,nice sound
"Looks good in the picture, but this case was a huge disappointment!!",negative,looks good picture case huge disappointment
Much less than the jawbone I was going to replace it with.,positive,much less jawbone going replace
Setup went very smoothly.,positive,setup went smoothly
its extremely slow and takes forever to do anything with it.,negative,extremely slow takes forever anything
"A must study for anyone interested in the ""worst sins"" of industrial design.",negative,must study anyone interested worst sins industrial design
The first thing that happened was that the tracking was off.,negative,first thing happened tracking
"It is well made, easy to access the phone and has a handy, detachable belt clip.",positive,well made easy access phone handy detachable belt clip
Then I had to continue pairing it periodically since it somehow kept dropping.,negative,continue pairing periodically since somehow kept dropping
Can't upload ringtones from a third party.,negative,cant upload ringtones third party
"Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.",negative,bluetooth work phone locks screens flash makes calls randomly pocket locked
Truly awful.,negative,truly awful
"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",positive,works fine motorola cellphone lot better wornout battery
The volume for the ringer is REAL good (you have choices how loud).,positive,volume ringer real good choices loud
And none of the tones is acceptable.,negative,none tones acceptable
camera color balance is AWFUL.,negative,camera color balance awful
"This product is clearly not ready for prime time, I don't care how cool it looks, if you can't tell a call is coming in it's worthless.",negative,product clearly ready prime time dont care cool looks cant tell call coming worthless
I love the ringtones because they are so upbeat!,positive,love ringtones upbeat
Chinese Forgeries Abound!.,negative,chinese forgeries abound
Easy to pair with my Samsung Cell.,positive,easy pair samsung cell
The instructions didn't explain that a microphone jack could be used.,negative,instructions didnt explain microphone jack could used
i would advise to not purchase this item it never worked very well.,negative,would advise purchase item never worked well
Too bad you have to pay up to $$$ a month for the service!,negative,bad pay month service
Works well.,positive,works well
The nokia CA-42 USB cable did not work with my phone.,negative,nokia ca usb cable work phone
Clear crisp sound.,positive,clear crisp sound
"I have to use the smallest earpieces provided, but it stays on pretty well.",positive,use smallest earpieces provided stays pretty well
"The biggest complaint I have is, the battery drains superfast.",negative,biggest complaint battery drains superfast
The design might be ergonomic in theory but I could not stand having these in my ear.,negative,design might ergonomic theory could stand ear
Do NOT buy if you want to use the holster.,negative,buy want use holster
The phone can also take great pictures and even video clips.,positive,phone also take great pictures even video clips
It doesn't make you look cool.,negative,doesnt make look cool
"Because both ears are occupied, background is not distracting at all.",positive,ears occupied background distracting
"Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.",positive,comfortable fit need headset comfortable least hour time entire day
"Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.",negative,also phone doesnt seem accept anything except cbr mps preferably ripped windows media player
You can't beat the price on these.,positive,cant beat price
"* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!",positive,comes strong light use light camera shots even flash sos signals seriously
lightweight and works well.,positive,lightweight works well
So just beware.,negative,beware
I love this cable - it allows me to connect any mini-USB device to my PC.,positive,love cable allows connect miniusb device pc
So anyone near you will hear part of your conversation.,negative,anyone near hear part conversation
This is cool because most cases are just open there allowing the screen to get all scratched up.,positive,cool cases open allowing screen get scratched
I bought this phone as a replacement for my StarTac and have regretted it since.,negative,bought phone replacement startac regretted since
Appears to actually outperform the original battery from China that came with my V325i.,positive,appears actually outperform original battery china came vi
Can't store anything but phone numbers to SIM.,negative,cant store anything phone numbers sim
"It lasts less than 3o minutes, if I actually try to use the phone.My wife has the same phone with the same problem.",negative,lasts less minutes actually try use phonemy wife phone problem
Poor quality.,negative,poor quality
"jabra ear gels ""R"" the best!.",positive,jabra ear gels r best
Not worth it.,negative,worth
The phone crashed completely and now I have to get it replaced.,negative,phone crashed completely get replaced
"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.",positive,quit working id used months purchased another one best headset ive ever owned
"Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc).",negative,unfortunately recharge iphone despite connecting multiple power sources imac external battery wall outlet etc
It was a great phone.,positive,great phone
if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.,negative,simply want small flip phone look elsewhere extra bells whistles mediocre
"Good value, works fine - power via USB, car, or wall outlet.",positive,good value works fine power via usb car wall outlet
My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,positive,phone doesnt slide around car grip prevents phone slipping hand
This is simply the BEST bluetooth headset for sound quality!,positive,simply best bluetooth headset sound quality
Think it over when you plan to own this one!This sure is the last MOTO phone for me!,negative,think plan onethis sure last moto phone
"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?",positive,span hour two people exclaim whoa new phone tv
I have always used corded headsets and the freedom from the wireless is very helpful.,positive,always used corded headsets freedom wireless helpful
"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.",positive,case passed one year mark shows signs wear functional
"Other than that, the leather is nice and soft; the fit is very tight; the cut out for the face is a good shape.",positive,leather nice soft fit tight cut face good shape
It has everything I need and I couldn't ask for more.,positive,everything need couldnt ask
After receiving and using the product for just 2 days it broke.,negative,receiving using product days broke
This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,positive,product great makes working lot easier go copier waiting hold something
None of the three sizes they sent with the headset would stay in my ears.,negative,none three sizes sent headset would stay ears
T-Mobile has the best customer service anywhere.,positive,tmobile best customer service anywhere
Arrived quickly and much less expensive than others being sold.,positive,arrived quickly much less expensive others sold
We have tried 2 units and they both failed within 2 months.. Pros,negative,tried units failed within months pros
"Provides good protection and looks classy, too.",positive,provides good protection looks classy
Krussel Always good.,positive,krussel always good
"The tracfonewebsite is user friendly and makes it easy toactivate, etc.",positive,tracfonewebsite user friendly makes easy toactivate etc
The design is very good.4.,positive,design good
I great reception all the time.,positive,great reception time
I would highly recommend this product.,positive,would highly recommend product
"Couldn't use the unit with sunglasses, not good in Texas!",negative,couldnt use unit sunglasses good texas
It dit not work most of the time with my Nokia 5320.,negative,dit work time nokia
"Bought mainly for the charger, which broke soon after purchasing.",negative,bought mainly charger broke soon purchasing
"If you like a loud buzzing to override all your conversations, then this phone is for you!",negative,like loud buzzing override conversations phone
Fantastic buy and will get again for whatever my next phone is,positive,fantastic buy get whatever next phone
"stay away from this store, be careful.",negative,stay away store careful
This BlueAnt Supertooth hands-free phone speaker is AWESOME.,positive,blueant supertooth handsfree phone speaker awesome
Does not fit.,negative,fit
.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,positive,item arrived quickly works great metro pcs samsung schr slider phone sony premium sound ear plugs
"It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.",positive,light plenty battery capacity confortable wear somewhat extended periods time
disappointing.,negative,disappointing
Blue Ant is easy to use.,positive,blue ant easy use
Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.,positive,cheap hey works pleasantly suprised given low cost item
The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.,negative,camera phone may used dustpan indoors id rather using disposable
Then a few days later the a puff of smoke came out of the phone while in use.,negative,days later puff smoke came phone use
It's very convenient and simple to use - gets job done & makes the car ride so much smoother.,positive,convenient simple use gets job done makes car ride much smoother
The nano stated it.My son was dissapointed.,negative,nano stated itmy son dissapointed
The sound quality is excellent as well.,positive,sound quality excellent well
Its the best headset I have used.,positive,best headset used
Would not reccommend.,negative,would reccommend
They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,positive,around years carries highest quality antiglare screen protector found date
Just what I wanted.,positive,wanted
This particular model would not work with my Motorola Q smartphone.,negative,particular model would work motorola q smartphone
wont work right or atleast for me.,negative,wont work right atleast
in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.,negative,addition feels amp looks phone lightweight cheap plastic
"But now that it is ""out of warranty"" the same problems reoccure.Bottom line... put your money somewhere else... Cingular will not support it.",negative,warranty problems reoccurebottom line put money somewhere else cingular support
"I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The good",negative,really wanted plantronics right one many issues methe good
Great product.,positive,great product
Crisp and Clear.,positive,crisp clear
AFter the first charge kept going dead after 12 minutes.,negative,first charge kept going dead minutes
"VERY cheap plastic, creaks like an old wooden floor.",negative,cheap plastic creaks like old wooden floor
"I get absolutely horrible reception in my apartment, where with other phones I have not had this problem.",negative,get absolutely horrible reception apartment phones problem
The reception has been generally good.,positive,reception generally good
"Excellent sound, battery life and inconspicuous to boot!.",positive,excellent sound battery life inconspicuous boot
Great bluetooth!.,positive,great bluetooth
I highly recommend this case.,positive,highly recommend case
WORTHWHILE.,positive,worthwhile
This is a great deal.,positive,great deal
"After my phone got to be about a year old, it's been slowly breaking despite much care on my part.",negative,phone got year old slowly breaking despite much care part
I am sorry I made this purchase.,negative,sorry made purchase
I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.,negative,bought hoping could make bluetooth headset fit better things made impossible wear
Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.,negative,treo tmobile refused replace forced buy another phone without kind upgrade discount
It was horrible!.,negative,horrible
I don't think it would hold it too securly on your belt.,negative,dont think would hold securly belt
This allows the possibility of double booking for the same date and time after the first.,negative,allows possibility double booking date time first
They work about 2 weeks then break.,negative,work weeks break
It is simple to use and I like it.,positive,simple use like
"It's a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!",positive,great tool entertainment communication data managementoh sure use activesync optimal data synchronization results
I can't use this case because the smell is disgusting.,negative,cant use case smell disgusting
NOT WHAT I WANTED.,negative,wanted
I own 2 of these cases and would order another.,positive,cases would order another
Great Phone.,positive,great phone
I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,positive,bought battery coupon amazon im happy purchase
"The internet access was fine, it the rare instance that it worked.",negative,internet access fine rare instance worked
Perfect for the PS3.,positive,perfect ps
"Five star Plus, plus.",positive,five star plus plus
A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,positive,good quality bargain bought bought cheapy big lots sounded awful people end couldnt hear
$50 Down the drain.,negative,drain
I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,negative,tried talking real loud shouting telephone gets old still told wasnt great
"Good , works fine.",positive,good works fine
For the price this was a great deal.,positive,price great deal
"Great price, too!",positive,great price
"If there is a wind, it is completely useless.",negative,wind completely useless
Yes it's shiny on front side - and I love it!,positive,yes shiny front side love
Does Not Work.,negative,work
"At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).",negative,first thought grtting good deal plugged phone vc razr
The reception through this headset is excellent.,positive,reception headset excellent
2 thumbs up to this seller,positive,thumbs seller
"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",positive,verizon lg phone work well together good reception range exceeds feet line sight
Improper description.... I had to return it.,negative,improper description return
#1 It Works - #2 It is Comfortable.,positive,works comfortable
Battery charge-life is quite long.,positive,battery chargelife quite long
The Jabra EarGels fit my ears very well.,positive,jabra eargels fit ears well
Battery has no life.,negative,battery life
I checked everywhere and there is no feature for it which is really disappointing.,negative,checked everywhere feature really disappointing
Product is exactly as described.,positive,product exactly described
Gets a signal when other Verizon phones won't.,positive,gets signal verizon phones wont
Doesn't do the job.,negative,doesnt job
I would recommend it.,positive,would recommend
Plan on ordering from them again and again.,positive,plan ordering
"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",positive,said phone camera nice many cool effects play video decent well
I have been very satisfied with this cell phone from day one.,positive,satisfied cell phone day one
They keep getting better and better (this is my third one and I've had numerous Palms too).,positive,keep getting better better third one ive numerous palms
Awkward to use and unreliable.,negative,awkward use unreliable
The shipping time was also very quick!,positive,shipping time also quick
Not as good as I had hoped.,negative,good hoped
Good case!.,positive,good case
Doesn't Work.,negative,doesnt work
Really good product.,positive,really good product
Unfortunately it did not work.,negative,unfortunately work
All three broke within two months of use.,negative,three broke within two months use
dont buy it.,negative,dont buy
"My father has the V265, and the battery is dying.",negative,father v battery dying
"However, the ear pads come off easily and after only one week I lost one.",negative,however ear pads come easily one week lost one
"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",negative,calls drop phone comes screen goes black worst stops ringing intermittently
"Horrible, horrible protector.",negative,horrible horrible protector
I don't like this Nokia either.,negative,dont like nokia either
"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.",negative,reaching bottom row uncomfortable send end keys expect
I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,negative,bought nokia cell phone weeks ago nightmare
It would take too long to describe how bad my customer service experience has been with Amazon.,negative,would take long describe bad customer service experience amazon
the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,negative,disappointing thing speakerphone
Terrible.. My car will not accept this cassette.,negative,terrible car accept cassette
"Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.",negative,product useless since enough charging current charge cellphones planning use
It's not what it says it is.,negative,says
Stay Away From the Q!.,negative,stay away q
Used and dirty.,negative,used dirty
Very unreliable service from T-mobile !,negative,unreliable service tmobile
Not good enough for the price.,negative,good enough price
I bought two of them and neither will charge.,negative,bought two neither charge
It looks very nice.,positive,looks nice
"This is an excellent tool, especially when paired with your phone's auto-answer.",positive,excellent tool especially paired phones autoanswer
I have read other's reviews here but I haven't had any problem with it.,positive,read others reviews havent problem
These products cover up the important light sensor above the ear outlet.,negative,products cover important light sensor ear outlet
Comfortable in my hand.,positive,comfortable hand
Just does not work.,negative,work
Poor Reliability.,negative,poor reliability
(It works!),positive,works
"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",negative,take picture battery drops bar starts beeping letting know dieing
"Terrible product, and waste of money!",negative,terrible product waste money
Last time buying from you.,negative,last time buying
It was a waste of my money.,negative,waste money
So far it has worked like a charm.,positive,far worked like charm
